nnz_grid,proposed_solve_time,l0bnb_solve_time,omp_solve_time,lasso_solve_time,enet_solve_time,proposed_f1_score,l0bnb_f1_score,omp_f1_score,lasso_f1_score,enet_f1_score,proposed_train_error,l0bnb_train_error,omp_train_error,lasso_train_error,enet_train_error,proposed_test_error,l0bnb_test_error,omp_test_error,lasso_test_error,enet_test_error
0,0.021312837600708,0.42540439367294314,0.001135718822479248,0.029976308345794678,0.008208274841308594,0.0,0.0,0.1636363636363636,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.010950088500976562,0.32084630665026215,0.001135718822479248,0.036042869091033936,0.008208274841308594,0.16267942583732053,0.16267942583732053,0.1636363636363636,0.16666666666666666,0.0,0.5238035972111365,0.5238035972111365,1.0,0.5026045364629331,1.0,0.5598767080857491,0.5598767080857491,1.0,0.4829357415252571,1.0
2,0.03648220865350021,1.717954569392734,0.001374995708465576,0.04312161395424291,0.008208274841308594,0.2807017543859649,0.2807017543859649,0.275,0.26315789473684204,0.16666666666666669,0.30826607821929436,0.30826607821929436,0.57805842277061,0.3880967138935289,1.0,0.3518320486763376,0.3518320486763376,0.6050937150154495,0.417810403235628,1.0
3,0.023010913063498104,0.7343334197998047,0.0015945672988891602,0.060109392801920576,0.010198116302490234,0.3981900452488687,0.3981900452488687,0.3769230769230769,0.3487179487179487,0.2564102564102564,0.21974751744064489,0.21974751744064489,0.39897119688188964,0.263562473308345,0.8305053956101239,0.27022618345292193,0.27022618345292193,0.4408235023956992,0.3048172337428416,0.6344077038047667
4,0.09163562456766765,3.005471285651712,0.0018060445785522462,0.06871689856052399,0.022429466247558594,0.4761904761904763,0.4761904761904763,0.4571428571428572,0.3839285714285714,0.3571428571428571,0.16692491710237123,0.16692491710237123,0.3095949419861319,0.20590741159883738,0.5540996392510125,0.19957028182894482,0.19957028182894482,0.3606727793886086,0.25485156230252914,0.5602512183571572
5,0.09565450350443522,2.4798009077707928,0.0020247936248779298,0.07832576831181844,0.013638854026794434,0.5066666666666668,0.5066666666666668,0.4866666666666667,0.4111111111111112,0.39999999999999997,0.13926157802485362,0.13926157802485362,0.2607146101148143,0.1962599058245988,0.5459789546996121,0.166847370620395,0.166847370620395,0.32900924225713585,0.2169338937205934,0.41313311971477734
6,0.0271569045384725,3.455118179321289,0.002251410484313965,0.08965142071247101,0.01290183597140842,0.5416666666666666,0.5416666666666666,0.48125,0.515625,0.4027777777777778,0.1235620240760075,0.1235620240760075,0.23440699202574633,0.1514134494702556,0.4479456510753046,0.1619410735244848,0.1619410735244848,0.3137882871757915,0.17192498458185101,0.4164892021740045
7,0.0875304643924419,3.1725200506357045,0.002487289905548096,0.08993383816310338,0.01540203889211019,0.5701357466063348,0.5701357466063348,0.49411764705882355,0.5546218487394957,0.43137254901960786,0.11542419885754053,0.11542419885754053,0.20721543830764508,0.1498095229398054,0.36853407616156536,0.15180299717974208,0.15180299717974208,0.30702939663351514,0.16757515559357053,0.311226544802404
8,0.1117774418422154,4.749572955645048,0.002743732929229736,0.10985852690304027,0.026161003112792968,0.5793650793650793,0.5793650793650793,0.4833333333333334,0.5555555555555556,0.4333333333333333,0.11991243397132759,0.11991243397132759,0.1902112967873954,0.11895514305418305,0.3335833319711167,0.15968980907618816,0.15968980907618816,0.3041354264831735,0.13997007929202981,0.23811796274458152
9,0.097794707119465,10.783111975743221,0.003010845184326172,0.10568405900682722,0.0320052703221639,0.5723684210526315,0.5723684210526315,0.47368421052631576,0.556390977443609,0.46491228070175444,0.10208155383522706,0.10208155383522706,0.17724534473667042,0.11709559210753914,0.31000021654272447,0.1391288528693757,0.1391288528693757,0.2973838543222525,0.1399303184065546,0.2550113809506946
