nnz_grid,proposed_solve_time,l0bnb_solve_time,omp_solve_time,lasso_solve_time,enet_solve_time,proposed_f1_score,l0bnb_f1_score,omp_f1_score,lasso_f1_score,enet_f1_score,proposed_train_error,l0bnb_train_error,omp_train_error,lasso_train_error,enet_train_error,proposed_test_error,l0bnb_test_error,omp_test_error,lasso_test_error,enet_test_error
0,0.0309812307357786,0.42335824966430663,0.0013369679450988769,0.02770848274230957,0.009772777557373047,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9863748399178446,1.0,1.0,1.0,1.0,1.0
1,0.02921849727630615,0.4206382751464844,0.0013369679450988769,0.03100044077092951,0.009772777557373047,0.0707070707070707,0.0707070707070707,0.1,0.08264462809917356,0.0,0.6296045893184309,0.6296045893184309,1.0,0.6479201261742615,0.9863748399178446,0.7093816322377021,0.7093816322377021,1.0,0.6548684631045253,1.0
2,0.016986398135914522,0.521229871114095,0.0016609668731689454,0.03389434019724528,0.009772777557373047,0.21568627450980393,0.21568627450980393,0.20833333333333334,0.16666666666666666,0.0,0.33519622849476993,0.33519622849476993,0.56967538802177,0.41603473156754156,0.9863748399178446,0.39776968279630914,0.39776968279630914,0.6472262684654135,0.541362425830391,1.0
3,0.021451809827019188,0.6373717337846756,0.0019130587577819824,0.040362103780110674,0.009772777557373047,0.334841628959276,0.334841628959276,0.2615384615384615,0.3384615384615384,0.0,0.23390492499738555,0.23390492499738555,0.3745095047892119,0.25326496832108786,0.9863748399178446,0.2820088136194501,0.2820088136194501,0.45914209076029877,0.286253956821861,1.0
4,0.05248132016923693,1.709797157181634,0.0021195769309997558,0.04125399589538574,0.009772777557373047,0.4206349206349207,0.4206349206349207,0.3142857142857142,0.3714285714285714,0.0,0.1957709542469124,0.1957709542469124,0.30185219732873725,0.21855666592609596,0.9863748399178446,0.2439617836200315,0.2439617836200315,0.4066077456983092,0.25839969460806095,1.0
5,0.061879849433898924,1.4267865816752117,0.0023306131362915037,0.055744451635024124,0.009772777557373047,0.5333333333333333,0.5333333333333333,0.32666666666666666,0.4784313725490196,0.0,0.18158448205779187,0.18158448205779187,0.2704055314494047,0.2026084158932561,0.9863748399178446,0.23696092229713386,0.23696092229713386,0.39771073280847374,0.24021602395968727,1.0
6,0.1574188619852066,4.983905300498009,0.0025835514068603517,0.06311501562595367,0.009772777557373047,0.546875,0.546875,0.33125,0.5,0.0,0.1570897910738999,0.1570897910738999,0.2510611711183466,0.1926680864704076,0.9863748399178446,0.23179123167012258,0.23179123167012258,0.4005427890142476,0.23663815396221996,1.0
7,0.43657737511854905,12.103121592448307,0.0029036641120910645,0.0734608703189426,0.022889057795206707,0.5701357466063348,0.5701357466063348,0.33529411764705885,0.5098039215686274,0.4705882352941176,0.14020035916735102,0.14020035916735102,0.23149639718677845,0.16454153113626754,1.0,0.19133160738571006,0.19133160738571006,0.3996860131809053,0.21405276185486435,1.0
8,1.433065255482992,23.878816239039104,0.003141748905181885,0.07966554164886475,0.020128846168518066,0.6,0.6,0.35,0.5476190476190476,0.4444444444444445,0.13936732395224963,0.13936732395224963,0.21439457819538413,0.15120138145005774,0.9158900535434951,0.21628209996100928,0.21628209996100928,0.39283698706274517,0.2049711950793452,1.0
9,1.4565742015838623,6.9769601106643675,0.0033873200416564943,0.09735426035794345,0.025982022285461426,0.5894736842105264,0.5894736842105264,0.3578947368421052,0.49760765550239244,0.44736842105263164,0.1349863943721103,0.1349863943721103,0.19535995296556824,0.15599691304163066,0.8269722128775001,0.18712723131996173,0.18712723131996173,0.38106967454841056,0.21917822531783415,0.9740021745181007
