nnz_grid,proposed_solve_time,l0bnb_solve_time,omp_solve_time,lasso_solve_time,enet_solve_time,proposed_f1_score,l0bnb_f1_score,omp_f1_score,lasso_f1_score,enet_f1_score,proposed_train_error,l0bnb_train_error,omp_train_error,lasso_train_error,enet_train_error,proposed_test_error,l0bnb_test_error,omp_test_error,lasso_test_error,enet_test_error
0,0.0294674144942185,0.4156056108145878,0.0009433976535139413,0.026572227478027344,0.0062550703684488935,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6909020528635287
1,0.021468696594238282,0.8837807941436767,0.0009433976535139413,0.031004569747231224,0.0062550703684488935,0.16,0.16,0.14420062695924762,0.15702479338842973,0.0,0.6218186182974793,0.6218186182974793,1.0,0.6139361647980521,1.0,0.6704657394161284,0.6704657394161284,1.0,0.6766732450830836,0.6909020528635287
2,0.06361917349008414,2.4730908503899207,0.0011801719665527344,0.03899316787719727,0.0062550703684488935,0.2884615384615385,0.2884615384615385,0.25287356321839083,0.2333333333333334,0.0,0.4026317093978412,0.4026317093978412,0.6737583104906614,0.4639244548482953,1.0,0.4848489174648504,0.4848489174648504,0.7545834082083842,0.5622052521087779,0.6909020528635287
3,0.13130815212543195,5.591738948455224,0.0013895610283161032,0.04782634032400031,0.0062550703684488935,0.39644970414201186,0.39644970414201186,0.350132625994695,0.30769230769230765,0.0,0.297056639480668,0.297056639480668,0.4801687962014389,0.33804638523545794,1.0,0.35787849211105954,0.35787849211105954,0.561982071170745,0.45413253457612024,0.6909020528635287
4,0.24243607521057128,9.057856578826904,0.0015989254260885305,0.055890650976271855,0.0062550703684488935,0.49142857142857144,0.49142857142857144,0.43349753694581283,0.3605442176870749,0.28571428571428575,0.22274384610284623,0.22274384610284623,0.35778042840453605,0.2746364786571589,1.0,0.29330178683032465,0.29330178683032465,0.463162595622283,0.3657624174682672,0.6909020528635287
5,0.4411636435467264,14.444092170051906,0.0018153766105914939,0.0622616708278656,0.01428516705830892,0.5681159420289855,0.5681159420289855,0.5057471264367815,0.38333333333333336,0.3111111111111111,0.16349344994244605,0.16349344994244605,0.27718811796838666,0.23265055225649775,0.8577367315629628,0.2357395019240527,0.2357395019240527,0.38113290423379365,0.33184722639024467,0.7504237557160461
6,1.5586934848265215,31.612493016503073,0.002039407861643824,0.05436462163925171,0.010989159345626831,0.6306818181818182,0.6306818181818182,0.5646551724137931,0.390625,0.34375,0.13385673824168795,0.13385673824168795,0.22212419898973582,0.23610382135548183,0.9864262016953732,0.18440777853041487,0.18440777853041487,0.3223823787047565,0.32906480594450915,1.0
7,0.715561345771507,23.66189886905529,0.0022818548925991715,0.06916463893392812,0.009531815846761068,0.6753812636165578,0.6753812636165578,0.5963488843813387,0.4450127877237851,0.3660130718954248,0.1093899263001718,0.1093899263001718,0.184535480854089,0.17542508700817744,0.8350603009286168,0.16440713583337802,0.16440713583337802,0.2779568883063718,0.2626048449078547,0.7258643235317381
8,1.40265248715877533,11.976747900247574,0.0025398813444992593,0.07355164157019721,0.020311268893155186,0.6388888888888888,0.6388888888888888,0.6130268199233717,0.5,0.3434343434343434,0.10226353242979266,0.10226353242979266,0.16333478184689781,0.1405714615573567,0.7215514862448184,0.1688908980452278,0.1688908980452278,0.2526304601868475,0.2166538155055182,0.6858236406833245
9,8.977118212243784,62.52871247700283,0.002810839948983028,0.07939420640468597,0.019137223561604817,0.6727688787185355,0.6727688787185355,0.6061705989110707,0.5263157894736842,0.35964912280701755,0.0900389978107477,0.0900389978107477,0.14409656344614294,0.11164796427052719,0.6710995193181385,0.15362682467936795,0.15362682467936795,0.24110517453009692,0.18676125081196898,0.6480209387090989
10,13.70857474678441,57.05050439834595,0.0030860654238996834,0.08279232978820801,0.021285707300359554,0.6263157894736843,0.6263157894736843,0.5896551724137932,0.5499999999999999,0.34545454545454546,0.08463554559134752,0.08463554559134752,0.13335998929615808,0.11270057123988256,0.6514215659500473,0.1469098035140852,0.1469098035140852,0.24798590905603593,0.20436701337199914,0.6071404421674065
11,18.680705547332764,73.87489827473958,0.003379024308303307,0.09347940746106599,0.026460981369018553,0.6190476190476192,0.6190476190476192,0.5714285714285714,0.5513784461152881,0.42857142857142855,0.08294872959274571,0.08294872959274571,0.12232224375455075,0.09730902602977273,0.5052197256892541,0.15353803802450758,0.15353803802450758,0.2538365354992968,0.17253723598647872,0.5306611100967454
12,19.48905485868454,49.202323257923126,0.003682046101011079,0.09692186117172241,0.026531744003295898,0.6306818181818182,0.6306818181818182,0.5517241379310345,0.5545454545454545,0.3818181818181817,0.072871916265665,0.072871916265665,0.11519171933756385,0.08942340443454211,0.5315620391002075,0.13465568817955156,0.13465568817955156,0.2551791160999361,0.16904356965023198,0.5316356773902987
13,28.56114849448204,109.11314395268758,0.004004026281422582,0.09543080556960333,0.02202261411226713,0.5869565217391305,0.5869565217391305,0.5397301349325336,0.5424430641821946,0.40802675585284287,0.0745291104907919,0.0745291104907919,0.1082353889790434,0.08426423348929615,0.4798020207944705,0.14849745051034663,0.14849745051034663,0.2575372280530176,0.15819244696995355,0.5660330413825038
14,30.95669844150543,87.24837146486554,0.004338938614417766,0.10732506215572357,0.023377752304077147,0.5666666666666667,0.5666666666666667,0.5229885057471264,0.546875,0.4388888888888889,0.07224397883609739,0.07224397883609739,0.10228921100927449,0.08003676076570163,0.4678208390769812,0.14745858634076842,0.14745858634076842,0.26514290677674524,0.1473615010871103,0.5673300434743557
15,9.608804140772138,113.1399318575859,0.004695769014029667,0.11687760126023065,0.032345877753363714,0.5542857142857144,0.5542857142857144,0.5020689655172415,0.5371428571428573,0.4222222222222223,0.07113650347094545,0.07113650347094545,0.09737127834811157,0.07595155455200506,0.3920525687639612,0.14547821895761892,0.14547821895761892,0.26798183863536656,0.15211806583704587,0.49069405921359005
16,12.566204474522518,107.04199936389924,0.005070653455010776,0.11394836352421688,0.034012168645858765,0.5266272189349113,0.5266272189349113,0.4907161803713528,0.5443786982248521,0.4471153846153846,0.07180876263486338,0.07180876263486338,0.0919420210597992,0.06815990085927356,0.38001489565085145,0.14544771592859862,0.14544771592859862,0.2683046737783447,0.14401686948281767,0.4554759343610441
17,44.0353448824449,102.74910715222359,0.005462523164420292,0.11785242557525635,0.0370417663029262,0.5117845117845118,0.5117845117845118,0.4776500638569605,0.5333333333333334,0.42328042328042326,0.06515415387380295,0.06515415387380295,0.08629912742607751,0.06818919560803943,0.35581346772038147,0.14107297121610815,0.14107297121610815,0.27040145754240225,0.14224591617718094,0.44289529313729764
18,35.78247857093811,148.14936742782592,0.005876993310862574,0.1332709036375347,0.03841740944806267,0.5,0.5,0.46798029556650245,0.4962406015037594,0.4495798319327731,0.05974745339409395,0.05974745339409395,0.08184987385084955,0.06244558258291591,0.3097603816182681,0.14997326754609475,0.14997326754609475,0.2694764923810743,0.149395621674923,0.4013799311402598
19,31.94091692337623,112.12746067841847,0.006315494405812231,0.13130794252668107,0.03987884521484375,0.48806366047745353,0.48806366047745353,0.4542211652794292,0.5172413793103448,0.432183908045977,0.06545423159200005,0.06545423159200005,0.0774270486298947,0.06553350195127668,0.29045227337709634,0.15761388270903032,0.15761388270903032,0.2809596417360075,0.13853853475158817,0.43046717430113707
