nnz_grid,proposed_solve_time,l0bnb_solve_time,omp_solve_time,lasso_solve_time,enet_solve_time,proposed_f1_score,l0bnb_f1_score,omp_f1_score,lasso_f1_score,enet_f1_score,proposed_train_error,l0bnb_train_error,omp_train_error,lasso_train_error,enet_train_error,proposed_test_error,l0bnb_test_error,omp_test_error,lasso_test_error,enet_test_error
0,0.00200385989083184,0.174399709701538,0.0010227733188205295,1.6911052763462067,0.006067037582397461,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.002659030130931309,0.10183796882629395,0.0010227733188205295,1.5971028874902164,0.006067037582397461,0.1774891774891775,0.1774891774891775,0.17373737373737375,0.17647058823529413,0.0,0.38085542377323706,0.38085542377323706,1.0,0.38624415108867804,1.0,0.4330069950019315,0.4330069950019315,1.0,0.43805157679110385,1.0
2,0.0031834273111252557,0.11806448574723868,0.0012761645846896701,1.4101185003916423,0.006067037582397461,0.32539682539682546,0.32539682539682546,0.3148148148148149,0.32051282051282065,0.0,0.3264681446031646,0.3264681446031646,0.6050096102984901,0.2839495691296542,1.0,0.3671058061365875,0.3671058061365875,0.635655601508092,0.33413506315943015,1.0
3,0.005198746919631958,0.1500173956155777,0.0014992078145345052,1.3892913639545441,0.015038222074508667,0.4461538461538462,0.4461538461538462,0.3794871794871794,0.4384615384615385,0.423076923076923,0.26005810025726706,0.26005810025726706,0.43332107184573443,0.2179984010585613,0.9764499702576446,0.28722199508015683,0.28722199508015683,0.48229779524063426,0.24629127246875954,0.9676358029590442
4,0.00902398427327474,0.2624971789698447,0.0017257743411593968,1.4879117074765658,0.0162703275680542,0.54421768707483,0.54421768707483,0.4031746031746029,0.5037593984962406,0.5357142857142858,0.2240565195837064,0.2240565195837064,0.368363250377428,0.18526633206190696,0.6770331092266788,0.24358434638482115,0.24358434638482115,0.43303873781423713,0.22381123243865444,0.6374637772155034
5,0.02171545493893507,0.8876020749409993,0.001952309078640408,1.574190662966834,0.02026545206705729,0.624390243902439,0.624390243902439,0.3940740740740739,0.5481481481481483,0.5777777777777777,0.21852342070393665,0.21852342070393665,0.33835731139133624,0.16742111236410978,0.5613064626767403,0.24476414216857525,0.24476414216857525,0.44032256903559963,0.21698815282899783,0.5356775373618031
6,0.05582739966256278,0.6561784004342968,0.002187792460123698,1.11138527968834186,0.03944216603818147,0.6821428571428572,0.6821428571428572,0.38333333333333336,0.5431034482758621,0.6413043478260869,0.17421542728207384,0.17421542728207384,0.31870475787220987,0.12365930028804994,0.41656813695770045,0.19612634496999076,0.19612634496999076,0.4591982215784354,0.1704736027797857,0.4406019643162306
7,0.02290487289428711,0.9765905208057828,0.0024351543850368923,1.954850591462234,0.04301519393920898,0.7403156384505021,0.7403156384505021,0.37647058823529406,0.5801217038539555,0.6319327731092436,0.16628602222442984,0.16628602222442984,0.2910203274131143,0.1342122740051876,0.37344145561523184,0.200734188372574,0.200734188372574,0.45330769486845823,0.1867865058225288,0.3970364875261043
8,0.02820426048771,0.71544864753196979,0.0027002864413791234,2.6539015542893183,0.04532340720847801,0.7634408602150539,0.7634408602150539,0.37283950617283945,0.5555555555555554,0.662551440329218,0.1428308972449306,0.1428308972449306,0.26701535226213524,0.11881458155672023,0.3277834948143015,0.17427763240589322,0.17427763240589322,0.4433565077861115,0.17161314288019214,0.3845958776298746
9,0.017741821706295013,0.74808805219588742,0.0029739009009467233,1.13164211312929788,0.05425869673490524,0.7532894736842105,0.7532894736842105,0.36959064327485375,0.5526315789473685,0.6118421052631579,0.131092416596638,0.131092416596638,0.24895562709177535,0.10887759928095209,0.3695658873765272,0.16968164391036122,0.16968164391036122,0.44005866945057587,0.16785444472119176,0.41970997018243045
10,0.03150820732116699,0.9564161539077759,0.0032548109690348306,1.13147361382194186,0.07124653729525479,0.7645161290322583,0.7645161290322583,0.3622222222222222,0.508695652173913,0.6136363636363638,0.11596388208176697,0.11596388208176697,0.23198484415882248,0.11231052108699575,0.2666647421772828,0.15373007339509753,0.15373007339509753,0.440271785425801,0.18580495680694536,0.33794454233624965
11,0.031084211056049055,0.9525498151779175,0.003558079401652018,2.5644642548127607,0.07167227806583527,0.761904761904762,0.761904761904762,0.35555555555555557,0.541125541125541,0.5837173579109063,0.10320989403982136,0.10320989403982136,0.2185854370136559,0.0944675850141513,0.30146961719608817,0.1424801693358032,0.1424801693358032,0.4495705686279265,0.15801479607852492,0.4062787633825326
12,0.0179156121753511,0.32379486163457233,0.0038731680976019965,2.12883592976464164,0.08579629943484351,0.7965367965367963,0.7965367965367963,0.34141414141414145,0.47979797979797983,0.5714285714285713,0.09862167387541568,0.09862167387541568,0.20822489086362683,0.10775634935881052,0.26931706605940264,0.1287557238357705,0.1287557238357705,0.45910893852083884,0.20014829677674761,0.35388702841215774
13,0.041345565215401024,0.5793066620826721,0.004197809431287978,2.4551650648531704,0.07693010568618774,0.714555765595463,0.714555765595463,0.32850241545893716,0.4650283553875235,0.5507246376811593,0.09551584124717336,0.09551584124717336,0.19821339637636703,0.09030850147882924,0.25341105658047497,0.13362700991613885,0.13362700991613885,0.4713212988747701,0.18407888588340413,0.36978970281289675
14,0.044123524113705286,0.5212037903921944,0.004541873931884766,2.152564904906533,0.08196358058763586,0.6973684210526315,0.6973684210526315,0.32037037037037036,0.4696969696969697,0.5108695652173914,0.09144680243087304,0.09144680243087304,0.1890349681478389,0.09527630186485471,0.2668342651536895,0.1274010910045035,0.1274010910045035,0.4725966598884648,0.1847293724021524,0.39551244825427034
