nnz_grid,proposed_solve_time,l0bnb_solve_time,omp_solve_time,lasso_solve_time,enet_solve_time,proposed_f1_score,l0bnb_f1_score,omp_f1_score,lasso_f1_score,enet_f1_score,proposed_train_error,l0bnb_train_error,omp_train_error,lasso_train_error,enet_train_error,proposed_test_error,l0bnb_test_error,omp_test_error,lasso_test_error,enet_test_error
0,0.0053648027559606,0.042788617785384014,0.0012098289117580506,0.025734143597739085,0.007977867126464843,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.00559695217344496,0.08296040693918864,0.0012098289117580506,0.12789711356163025,0.007977867126464843,0.1818181818181818,0.1818181818181818,0.18181818181818182,0.18181818181818182,0.0,0.29863043724771815,0.29863043724771815,1.0,0.3542246301756268,1.0,0.3393128379442284,0.3393128379442284,1.0,0.38462557142741294,1.0
2,0.004635254542032878,0.15579317166255072,0.0014667510986328125,0.13656964898109436,0.007977867126464843,0.32905982905982917,0.32905982905982917,0.3089430894308944,0.31770833333333337,0.0,0.2726220865972798,0.2726220865972798,0.628332014917801,0.2866345970471672,1.0,0.3134007556561388,0.3134007556561388,0.6270325072892201,0.34555541168044196,1.0
3,0.005804795026779175,0.175180869443076,0.0016950746861899772,0.14807823125053854,0.007977867126464843,0.45,0.45,0.3527204502814259,0.44796380090497734,0.4615384615384615,0.24390672114247672,0.24390672114247672,0.5278949701025459,0.22206631204089494,1.0,0.2683812168069682,0.2683812168069682,0.5717830841602983,0.24716592681002092,1.0
4,0.007234829664230347,0.2840461730957031,0.0019222934071610614,0.16962763570970105,0.017497077584266663,0.5535714285714287,0.5535714285714287,0.36236933797909404,0.5345622119815668,0.5357142857142858,0.2164486087694285,0.2164486087694285,0.46468038632557374,0.16542221967794044,0.7260897390194108,0.24481351787426286,0.24481351787426286,0.5652217779271036,0.190820057698292,0.8721666715630024
5,0.00498303903115762,0.18692408084869385,0.0021590256109470275,0.1735234124319894,0.022365933970401163,0.6342342342342344,0.6342342342342344,0.351219512195122,0.582857142857143,0.5894736842105263,0.185790451961984,0.185790451961984,0.42656876748809885,0.17201177011787397,0.6912110094986417,0.21285754792684244,0.21285754792684244,0.580118904275682,0.20024704122815493,0.8072236069499755
6,0.007855986293993499,0.2374284267425537,0.0023987932903010672,0.19464410096406937,0.03010268012682597,0.7236842105263158,0.7236842105263158,0.3384146341463415,0.58984375,0.625,0.15649687724404837,0.15649687724404837,0.40156553006851914,0.14616018868029346,0.5697104478006224,0.18538860204397142,0.18538860204397142,0.6022324416854019,0.18328149775862915,0.6782021449279408
7,0.0135069847106934,0.428243435346165,0.0026533196612102228,0.1063160514831543,0.03769225340623122,0.7529411764705882,0.7529411764705882,0.32424677187948353,0.6070588235294117,0.6515837104072398,0.13707290440732445,0.13707290440732445,0.3797365968257461,0.1287967340643135,0.4951326333870174,0.1731973714191361,0.1731973714191361,0.621183097194784,0.17148775029877888,0.6209167701154779
8,0.013461426326206753,0.2669925601394088,0.0029252040676954316,0.22990833861487253,0.0352554718653361,0.7936507936507937,0.7936507936507937,0.3197831978319783,0.5595238095238094,0.7083333333333334,0.12881457049983158,0.12881457049983158,0.3580532233708774,0.13241591244179884,0.4663366915404402,0.1622686977824303,0.1622686977824303,0.6253308968528934,0.19123073158683845,0.5897981566259499
9,0.02654876708984375,0.8080021348492853,0.003205398233925424,0.2681242170787993,0.044661397025698706,0.8140350877192979,0.8140350877192979,0.3080872913992298,0.5664160401002507,0.681704260651629,0.11844657040512956,0.11844657040512956,0.3391836116809281,0.10597595397064222,0.40363053562851037,0.1630940825335113,0.1630940825335113,0.6317992577119466,0.17292334113565042,0.5259471059962617
10,0.039771218453684164,1.4087385194642204,0.003500723257297423,0.12053660912947221,0.051289611392551,0.8290322580645161,0.8290322580645161,0.30487804878048785,0.5636363636363636,0.5962962962962963,0.11379844124490039,0.11379844124490039,0.3216367203186206,0.12188902097237947,0.431373902866299,0.15289946666186993,0.15289946666186993,0.6370216923092488,0.19700556326338184,0.6269233731889133
11,0.04884875978742327,1.10335779190063477,0.0038094811323212416,0.2810559774699964,0.062445388899909124,0.8129251700680273,0.8129251700680273,0.2926829268292683,0.4962406015037594,0.6137566137566137,0.10187792474770271,0.10187792474770271,0.3076844401128606,0.1235436808859977,0.3955240067401552,0.14037433168157148,0.14037433168157148,0.6468752305227422,0.2256612746883193,0.6070034541146047
12,0.08911643204865632,2.1430046632885933,0.0041302878682206315,0.13092418670654296,0.06379389762878418,0.8047138047138048,0.8047138047138048,0.2882483370288248,0.5236363636363636,0.5731225296442688,0.09345366873643673,0.09345366873643673,0.292477921511697,0.11209372460422976,0.3819373695162039,0.14652779043801958,0.14652779043801958,0.6550619683623944,0.202381884516194,0.6867016546037477
13,0.083575946634465996,4.3287847669501054,0.00446191066648902,0.12602716333725872,0.0711818238099416,0.7905138339920948,0.7905138339920948,0.2841993637327678,0.4961636828644501,0.5471014492753623,0.0906370290422389,0.0906370290422389,0.2777849596922952,0.11347115578209395,0.36492387128869813,0.1328915131544657,0.1328915131544657,0.6493845266152977,0.22943601502123795,0.6472006200404149
14,0.091066766012282599,3.07230428132143887,0.0048122987514588895,0.13582292795181275,0.07196806536780463,0.7777777777777777,0.7777777777777777,0.2784552845528455,0.45833333333333337,0.5138888888888888,0.08603511367406849,0.08603511367406849,0.26229176282536515,0.09788748687247724,0.3436254572351792,0.13477916779380836,0.13477916779380836,0.6513546314168698,0.21685884200155467,0.6588581456175118
15,0.0814112544059753,7.18673889867721,0.005183847939095846,0.3333406588610481,0.07527457475662232,0.7480000000000001,0.7480000000000001,0.2692682926829268,0.47058823529411764,0.5040000000000001,0.0809719393518961,0.0809719393518961,0.2513165104069468,0.09895581008551704,0.35626883317875485,0.1311817080967265,0.1311817080967265,0.6720952110552678,0.21526774131021878,0.7315052585845983
16,0.953769508161043,8.946158647537231,0.0055723306609363095,0.13314257562160492,0.07006993293762206,0.7085020242914981,0.7085020242914981,0.2664165103189494,0.47115384615384615,0.5076923076923077,0.08345580502007123,0.08345580502007123,0.24042918535539592,0.10181759893087423,0.32252518624793686,0.14662731468007334,0.14662731468007334,0.6767855053807742,0.21732334044985338,0.640271256123026
17,0.9223061459405082,11.365720904391745,0.005981486018111066,0.13852537762035022,0.08911800384521484,0.6825396825396826,0.6825396825396826,0.2637759710930443,0.4444444444444445,0.4938271604938272,0.07993002018190193,0.07993002018190193,0.23006632493120668,0.08820019514533242,0.3096573105979348,0.13935494629796513,0.13935494629796513,0.6914501676492792,0.20359718554906114,0.6114201372976774
18,1.057010195472023704,22.6260583492425772,0.006412035081444717,0.34106145799160004,0.07778251872343175,0.6558441558441559,0.6558441558441559,0.2595818815331011,0.45089285714285715,0.5,0.07653407780751222,0.07653407780751222,0.21922033196067062,0.08480918575014418,0.27295891915429066,0.13017502681957283,0.13017502681957283,0.6966423491762251,0.1975825737219191,0.6061978629595592
19,1.484782695770264,24.14815093411339653,0.0068568427388261,0.14771329439603365,0.09111622571945191,0.6344827586206897,0.6344827586206897,0.2523128679562658,0.4084880636604774,0.4724137931034482,0.0833000952698269,0.0833000952698269,0.2095442897504558,0.08773106399453247,0.2694142413189615,0.13792100154892878,0.13792100154892878,0.7081281734014583,0.2211035092047191,0.5738381768265217
