nnz_grid,proposed_solve_time,l0bnb_solve_time,omp_solve_time,lasso_solve_time,enet_solve_time,proposed_f1_score,l0bnb_f1_score,omp_f1_score,lasso_f1_score,enet_f1_score,proposed_train_error,l0bnb_train_error,omp_train_error,lasso_train_error,enet_train_error,proposed_test_error,l0bnb_test_error,omp_test_error,lasso_test_error,enet_test_error
0,0.0175563544611775,0.42037661613956573,0.0027063585096789946,0.028889742764559658,0.0019241571426391602,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.017414356100148166,0.620486182825906,0.0027063585096789946,0.028082403269681065,0.0019241571426391602,0.15047021943573666,0.15047021943573666,0.15249266862170086,0.14876033057851237,0.0,0.5688904280344322,0.5688904280344322,1.0,0.5537530054729063,1.0,0.6603084913590629,0.6603084913590629,1.0,0.698706883636877,1.0
2,0.036151885986328125,1.464487033230918,0.002975125466623614,0.03512705365816752,0.0019241571426391602,0.2873563218390805,0.2873563218390805,0.2634408602150538,0.2569444444444445,0.0,0.35963252061881334,0.35963252061881334,0.6202379609356152,0.4111819483688153,1.0,0.43577581985283464,0.43577581985283464,0.6621377386579481,0.5192551239797346,1.0
3,0.07306598027547201,2.2633657217025758,0.003196500962780368,0.044942322231474374,0.0019241571426391602,0.41025641025641035,0.41025641025641035,0.36724565756823824,0.33699633699633696,0.23076923076923073,0.24875237815534817,0.24875237815534817,0.42730891555092326,0.2729402971258626,1.0,0.31831377806181926,0.31831377806181926,0.4817912836412659,0.35353381382094856,1.0
4,0.11006463050842286,4.141066598892212,0.0034165459294472973,0.050429126490717346,0.01216578483581543,0.4742857142857143,0.4742857142857143,0.43317972350230416,0.37267080745341613,0.28571428571428575,0.19964254272161772,0.19964254272161772,0.32878543657469766,0.29074351590209,0.4861131047433505,0.24974732588677795,0.24974732588677795,0.37060948038045705,0.3710090927458429,0.5437411773376969
5,0.31463337827611854,11.977671526096485,0.0036410208671323716,0.06724171889455695,0.009246905644734701,0.5580246913580247,0.5580246913580247,0.4774193548387097,0.4421052631578948,0.3111111111111111,0.16337702191026443,0.16337702191026443,0.274322238263233,0.20115589969673864,0.5727542931977654,0.19929297360846226,0.19929297360846226,0.31060989151101875,0.2586326301188782,0.5702209891213408
6,0.35444342571756116,12.033144878304523,0.00388180055925923,0.07628250122070312,0.012586196263631185,0.5652173913043478,0.5652173913043478,0.5040322580645161,0.4226190476190476,0.37499999999999994,0.12500207318016135,0.12500207318016135,0.22716227272569214,0.16918740782916264,0.5912852894367199,0.1658518187166896,0.1658518187166896,0.275775009831083,0.23668658846684532,0.6251115114854309
7,0.6005399794805617,22.319195804141817,0.004133178341773248,0.07518283128738404,0.016860079765319825,0.6106442577030811,0.6106442577030811,0.5161290322580644,0.47058823529411764,0.38823529411764707,0.11806795336115615,0.11806795336115615,0.19470418807564907,0.17671428678182702,0.4492517389893127,0.1633327768204043,0.1633327768204043,0.2619733652463146,0.24599861993653827,0.44259213829296085
8,1.4914487202962239,46.21650797349435,0.00439530034219065,0.08007677396138509,0.01766954527960883,0.5761316872427982,0.5761316872427982,0.5089605734767025,0.45679012345679,0.37037037037037035,0.10836851651959187,0.10836851651959187,0.1724762780816119,0.15454318953107912,0.416767978494738,0.14682252187736658,0.14682252187736658,0.2445933722320697,0.22682796728868085,0.46259833446598264
9,1.3469651699066163,34.68609700202942,0.0046644441543086885,0.09421569650823419,0.024637720801613548,0.5631578947368421,0.5631578947368421,0.5127334465195246,0.4880382775119617,0.37320574162679426,0.10309938205970506,0.10309938205970506,0.1572773455467374,0.12081892884316915,0.3891337469279984,0.13933227773438187,0.13933227773438187,0.2384063619308176,0.18384211015909757,0.4768755278578437
10,4.555253956052992,52.69042183458805,0.004949346665413149,0.08967970609664917,0.025412753224372864,0.5722222222222224,0.5722222222222224,0.4967741935483871,0.52,0.38125,0.09615618996900524,0.09615618996900524,0.142458151084028,0.11793355331364097,0.35259955917283026,0.13917879418383258,0.13917879418383258,0.23911035237433434,0.17437559710991177,0.4136002323255485
11,8.576020769450976,81.69647017717361,0.005261059730283676,0.09700880448023479,0.036499738693237305,0.5797101449275363,0.5797101449275363,0.48233486943164355,0.5,0.41558441558441556,0.09219200862156687,0.09219200862156687,0.13327670328919092,0.11607871727237906,0.31377386219377496,0.14199698580935988,0.14199698580935988,0.2450827706515696,0.17177969681756516,0.3955864137005852
12,10.50884591208564,80.34604606628417,0.005583778504402407,0.10730535643441337,0.027485508667795283,0.5303030303030303,0.5303030303030303,0.4633431085043988,0.523809523809524,0.3971291866028707,0.09203733682048451,0.09203733682048451,0.126421486474788,0.09680443554206342,0.30914942782606747,0.15076698607058514,0.15076698607058514,0.24941818273829308,0.15185765323575212,0.3982668417883364
13,12.405266177654266,90.4332344532013,0.005916803113875851,0.11288381814956665,0.031167920430501303,0.5173913043478261,0.5173913043478261,0.44600280504908835,0.517391304347826,0.4057971014492754,0.079657692658089,0.079657692658089,0.11867412036624689,0.09512303977050278,0.30361636338583414,0.14250989766570427,0.14250989766570427,0.252968927591592,0.15418217906707177,0.37062286285830615
14,26.218198134348942,155.28949444293977,0.0062663016780730215,0.12125391960144043,0.040625502081478346,0.4871794871794872,0.4871794871794872,0.43010752688172044,0.47777777777777775,0.39705882352941174,0.069998976299343,0.069998976299343,0.11240268398103408,0.09352057191926141,0.2939439253844963,0.1532791900785485,0.1532791900785485,0.2570886221790865,0.17734674818710706,0.36752364522421127
15,27.71109566092491,96.65781412124634,0.006647986750448903,0.1211482842763265,0.042622506618499756,0.5,0.5,0.42064516129032264,0.5120000000000001,0.39200000000000007,0.07580130376815185,0.07580130376815185,0.10625912211845304,0.08177306601998184,0.2808419844439437,0.14161363973449698,0.14161363973449698,0.25982212887991,0.17641007566807128,0.35772833106584956
16,18.16497480241876,75.9765174123976,0.007049906638360793,0.12526056880042666,0.03918094105190701,0.4979757085020243,0.4979757085020243,0.4119106699751861,0.4945054945054944,0.39316239316239326,0.0787757443033776,0.0787757443033776,0.10018189934386239,0.08114386643705797,0.28285729393472747,0.14209159941957764,0.14209159941957764,0.2650620548239443,0.19682259668033345,0.36040958451231153
17,27.041361792882284,62.728643602795074,0.007455372041271579,0.12179115613301596,0.044713175296783446,0.44938271604938257,0.44938271604938257,0.4038231780167264,0.4493827160493826,0.40370370370370373,0.07813511651972581,0.07813511651972581,0.09491405871774923,0.07343315967975242,0.23579261847098915,0.14725558668762562,0.14725558668762562,0.2645045015257958,0.16060803969305505,0.31624005149062473
18,21.49343263185941,75.02226620250278,0.007881049186952652,0.11689281463623047,0.05465361807081434,0.4505494505494505,0.4505494505494505,0.39170506912442404,0.49999999999999994,0.39285714285714285,0.07373614091338884,0.07373614091338884,0.09048589300009509,0.07041126467209971,0.2114266255795924,0.1463391733487649,0.1463391733487649,0.26811396303240803,0.22834355562253536,0.3050308082615046
19,19.160141424699262,89.4864701628685,0.00833752078394736,0.13714383840560912,0.05537238121032715,0.438871473354232,0.438871473354232,0.3870967741935484,0.46896551724137925,0.3862068965517241,0.07170256383553796,0.07170256383553796,0.08590707361688056,0.06888389067297397,0.20446292836975238,0.14698703244959382,0.14698703244959382,0.2712873500462421,0.23730976003958692,0.28365727766103344
