nnz_grid,proposed_solve_time,l0bnb_solve_time,omp_solve_time,lasso_solve_time,enet_solve_time,proposed_f1_score,l0bnb_f1_score,omp_f1_score,lasso_f1_score,enet_f1_score,proposed_train_error,l0bnb_train_error,omp_train_error,lasso_train_error,enet_train_error,proposed_test_error,l0bnb_test_error,omp_test_error,lasso_test_error,enet_test_error
0,0.02694684592160312,0.42135386033491656,0.0013273701523289535,0.028213310241699218,0.023898839950561523,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.02807334065437317,1.3166425483567374,0.0013273701523289535,0.029070767489346592,0.023898839950561523,0.13068181818181818,0.13068181818181818,0.11019283746556474,0.1239669421487603,0.0,0.6874128718693836,0.6874128718693836,1.0,0.6933701221581862,1.0,0.7860022153204524,0.7860022153204524,1.0,0.788372104135718,1.0
2,0.12505649668829782,5.581651540902945,0.0015694517077821674,0.035646733783540274,0.023898839950561523,0.21428571428571427,0.21428571428571427,0.18686868686868688,0.16666666666666669,0.0,0.5142932498466053,0.5142932498466053,0.7559409542787218,0.6026680221105443,1.0,0.6333098105860729,0.6333098105860729,0.8217296460401124,0.7020882232996616,1.0
3,0.33637428283691406,15.636372745037079,0.0017929510636763139,0.04222208923763699,0.023898839950561523,0.2917771883289124,0.2917771883289124,0.26573426573426573,0.24786324786324787,0.0,0.40513336250850995,0.40513336250850995,0.596097564615641,0.5098546920752551,1.0,0.5379863605513368,0.5379863605513368,0.7017279182351024,0.6220322971850208,1.0
4,0.8532118980701153,23.80822294491988,0.0020079612731933594,0.044913066060919514,0.023898839950561523,0.3736263736263736,0.3736263736263736,0.3376623376623377,0.2781954887218045,0.0,0.3135732248784677,0.3135732248784677,0.4822871112973526,0.4460466517443048,1.0,0.4354563985708608,0.4354563985708608,0.616479807772164,0.5920663945806582,1.0
5,2.198321004708608,53.40212302858179,0.002242073868260239,0.05180774236980237,0.023898839950561523,0.4833333333333334,0.4833333333333334,0.42020202020202024,0.37192982456140355,0.0,0.2591890941922981,0.2591890941922981,0.3960164960918869,0.36066920072772163,1.0,0.3827812914795535,0.3827812914795535,0.5389068024675769,0.46626183659157727,1.0
6,2.7434574728426724,49.34617708921432,0.0024723500916452117,0.04904791888068704,0.023898839950561523,0.532608695652174,0.532608695652174,0.4810606060606061,0.4264705882352941,0.0,0.21542636376207477,0.21542636376207477,0.3256146355898615,0.32041206474370215,1.0,0.331690184125165,0.331690184125165,0.4599368686002139,0.4372944247293106,1.0
7,1.9739499275500958,43.542359153429665,0.0027159777554598722,0.06217425747921592,0.023898839950561523,0.5701357466063348,0.5701357466063348,0.5240641711229945,0.44582043343653244,0.3529411764705882,0.18774925354678615,0.18774925354678615,0.26996496322515084,0.2768598683509713,1.0,0.29290101355390136,0.29290101355390136,0.3959090800604583,0.39083214930305066,0.9945490719293275
8,4.390067356604117,36.67098895072937,0.0029651468450372868,0.07003420277645714,0.01674872636795044,0.7736625514403292,0.7736625514403292,0.5488215488215488,0.4795321637426899,0.36111111111111105,0.13050409886001896,0.13050409886001896,0.22817651816871332,0.24516734719530703,0.9104274411166048,0.17995557775958074,0.17995557775958074,0.3519038663976801,0.3554524769571415,0.9804298425438168
9,3.0826317015148343,29.7109459400177,0.003233230475223426,0.06512561298552014,0.013678455352783203,0.7167919799498749,0.7167919799498749,0.5773524720893142,0.49624060150375937,0.37894736842105264,0.12334205362986177,0.12334205362986177,0.1925442203662387,0.22563069846268183,0.6607479760334939,0.20230819632286026,0.20230819632286026,0.30018313493854454,0.33820487181367187,0.9267292257122015
10,2.229568557739256,29.348548217253253,0.003507708058212743,0.0735385309566151,0.013289928436279297,0.84,0.84,0.5818181818181818,0.5272727272727273,0.41666666666666674,0.09619914884193984,0.09619914884193984,0.16943371005799152,0.1958565047131895,0.6940413988453543,0.14038385445678575,0.14038385445678575,0.26922030091169025,0.28720388609155045,0.9073971971227311
11,1.8484198010486106,49.29910057241266,0.0037973794070157137,0.075863734535549,0.015389561653137207,0.7536231884057973,0.7536231884057973,0.5858585858585857,0.5051759834368531,0.42857142857142855,0.097956000207163,0.097956000207163,0.15271291901796832,0.1839260379196265,0.7107667159796007,0.16066524140882715,0.16066524140882715,0.25604770418061945,0.2848230592082145,1.0
12,2.940317974090576,40.68465911258351,0.0041004094210538,0.08690899610519409,0.02345607280731201,0.7890909090909091,0.7890909090909091,0.5785123966942147,0.5340909090909092,0.4545454545454545,0.08834585195196432,0.08834585195196432,0.13959854994146279,0.16362021515530042,0.5974058111729954,0.13394278705865775,0.13394278705865775,0.24692335047199232,0.251400649867682,0.7525648695089459
13,8.15758228302002,35.93294485410055,0.004421371402162494,0.09091664850711823,0.02233925461769104,0.7420289855072464,0.7420289855072464,0.5586297760210803,0.5869565217391304,0.4456521739130435,0.08575549509547573,0.08575549509547573,0.12939124386551218,0.1303977465112109,0.5235649968897904,0.15159561193012008,0.15159561193012008,0.25204621205916433,0.2146916421628844,0.7360429328877705
14,6.417514264583588,95.04992478688558,0.004761002280495383,0.08544937372207642,0.0235685666402181,0.7239583333333333,0.7239583333333333,0.5429292929292929,0.55,0.4444444444444444,0.08263852364616563,0.08263852364616563,0.1216372012174657,0.1393421969367235,0.49567118261356424,0.14890639336092665,0.14890639336092665,0.2548854702054106,0.2017954055712881,0.7577769086229637
15,15.56580243612591,46.1448832658621,0.00512271938901959,0.09923614953693591,0.022211258228008565,0.7073684210526316,0.7073684210526316,0.5236363636363637,0.5810526315789475,0.44307692307692303,0.08367044468804698,0.08367044468804698,0.11475272203792766,0.11551417579972072,0.49101792252513976,0.13244197300699265,0.13244197300699265,0.2595433530835118,0.18414220094059341,0.6702580400342284
16,18.586861146123784,62.709462801615395,0.005504521456631747,0.10180029414948963,0.027697324752807617,0.6720647773279351,0.6720647773279351,0.5081585081585082,0.5934065934065933,0.44378698224852076,0.08445472042836355,0.08445472042836355,0.10879261742203791,0.1124207802359034,0.44360522360954935,0.13788087493418005,0.13788087493418005,0.2650061543774689,0.18148285860629412,0.6071974009627563
17,16.076415866613388,193.51994864145914,0.005904392762617631,0.10446910424665971,0.024514767858717177,0.6851851851851852,0.6851851851851852,0.4938271604938271,0.5925925925925926,0.46913580246913583,0.07606377905539806,0.07606377905539806,0.10287943165925029,0.09794124407241553,0.40849397013646105,0.12724252992635812,0.12724252992635812,0.26783980668605717,0.1599934499744457,0.6862323706553324
18,44.598136795891655,125.56966598828633,0.0063343698328191585,0.1160704493522644,0.0243225892384847,0.6071428571428572,0.6071428571428572,0.48484848484848486,0.6026785714285714,0.43333333333333335,0.0787780799213952,0.0787780799213952,0.0968897463463833,0.09342844266702575,0.41606112160448777,0.14889274101239913,0.14889274101239913,0.2631009786932674,0.1722544807770279,0.6229781102077199
19,40.56210307280222,164.29327024353876,0.006772460359515566,0.1099699338277181,0.03295045632582445,0.6264367816091955,0.6264367816091955,0.47021943573667707,0.5681444991789819,0.4827586206896552,0.06912027440751503,0.06912027440751503,0.09140140745792603,0.09395771265668383,0.35501529585443425,0.14128284876683087,0.14128284876683087,0.2623737615256046,0.1664778765647753,0.4936096623678417
