nnz_grid,proposed_solve_time,l0bnb_solve_time,omp_solve_time,lasso_solve_time,enet_solve_time,proposed_f1_score,l0bnb_f1_score,omp_f1_score,lasso_f1_score,enet_f1_score,proposed_train_error,l0bnb_train_error,omp_train_error,lasso_train_error,enet_train_error,proposed_test_error,l0bnb_test_error,omp_test_error,lasso_test_error,enet_test_error
0,0.00215449783537123,0.26903072992960614,0.0006971359252929688,0.05636465549468994,0.13609838485717773,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9691470202371929,1.0
1,0.0042262894766671316,0.31514838337898254,0.0006971359252929688,0.08151030540466309,0.13609838485717773,0.0,0.0,0.0,0.0,0.0,0.5462412053447057,0.5462412053447057,1.0,0.4894947117487131,1.0,0.7996736528156302,0.7996736528156302,1.0,1.0,1.0
2,0.007049049649919782,0.5124437510967255,0.0007758670383029514,0.15748013768877303,0.13609838485717773,0.0,0.0,0.0,0.0,0.0,0.4013630755919995,0.4013630755919995,0.632712659242381,0.37498781359807165,1.0,0.6711519048611854,0.6711519048611854,0.7525403186319846,0.785428136164878,1.0
3,0.010321885347366333,0.4913966178894043,0.0008299615648057726,0.23075207074483237,0.13609838485717773,0.0,0.0,0.0,0.0,0.0,0.3174971848754624,0.3174971848754624,0.4528616793573916,0.2815803136457522,1.0,0.610004443608024,0.610004443608024,0.6278934668394346,0.7032194278981097,1.0
4,0.053077485826280385,0.98531750440597534,0.0008819897969563802,0.3500325679779053,0.13609838485717773,0.0,0.0,0.0,0.0,0.0,0.2878843416075836,0.2878843416075836,0.3411057800315152,0.23469560269186546,1.0,0.5919021178207116,0.5919021178207116,0.5337507749274808,0.5750422342952075,1.0
5,0.0924311705998012,1.7385405131748743,0.000934441884358724,0.4649704694747925,0.13609838485717773,0.0,0.0,0.0,0.0,0.0,0.23239980581728673,0.23239980581728673,0.2745291966437507,0.20076617083954665,1.0,0.5234036960922399,0.5234036960922399,0.48692846291575553,0.4800718171276581,1.0
6,0.24044081142970494,7.5794562498728434,0.000988006591796875,0.37769365310668945,0.13609838485717773,0.0,0.0,0.0,0.0,0.0,0.22500019113910555,0.22500019113910555,0.22654980857912288,0.1613220013582911,1.0,0.5131007736644263,0.5131007736644263,0.4654937381064403,0.4406646926175906,1.0
7,1.894201934337616,8.649131178855896,0.0010431077745225695,0.4775053433009556,0.13609838485717773,0.0,0.0,0.0,0.0,0.0,0.1410039316000132,0.1410039316000132,0.17851443481098161,0.14952063785264066,1.0,0.3907738305879806,0.3907738305879806,0.502785012626106,0.3837958202641775,1.0
8,2.362817853689194,9.8588477373123169,0.0011011494530571832,0.6169220720018659,0.13609838485717773,0.0,0.0,0.0,0.0,0.0,0.12897710767779077,0.12897710767779077,0.14698911801749312,0.13218109743741227,1.0,0.3600495840736701,0.3600495840736701,0.5221515140442066,0.37649914904749987,1.0
9,2.15738422530038,11.331371506055197,0.0011626349555121528,0.7410999366215297,0.13609838485717773,0.0,0.0,0.0,0.0,0.0,0.1299698068023811,0.1299698068023811,0.12192872772518665,0.12477107673389802,1.0,0.3004447421421909,0.3004447421421909,0.5285795518770152,0.4092357199368812,1.0
