nnz_grid,proposed_solve_time,l0bnb_solve_time,omp_solve_time,lasso_solve_time,enet_solve_time,proposed_f1_score,l0bnb_f1_score,omp_f1_score,lasso_f1_score,enet_f1_score,proposed_train_error,l0bnb_train_error,omp_train_error,lasso_train_error,enet_train_error,proposed_test_error,l0bnb_test_error,omp_test_error,lasso_test_error,enet_test_error
0,0.013418217572299,0.44437380704012786,0.0011695384979248046,0.03261767206965266,0.00885319709777832,0.0,0.0,0.09256198347107437,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.0337044131999113,1.0458788971106212,0.0011695384979248046,0.03540285428365072,0.00885319709777832,0.08534322820037106,0.08534322820037106,0.09256198347107437,0.09324009324009322,0.0,0.7798163965503211,0.7798163965503211,1.0,0.7875593917432252,1.0,0.9421277542684232,0.9421277542684232,1.0,0.9518119543468959,1.0
2,0.19803208112716675,8.64119179475875,0.0014250408519398082,0.04130937258402507,0.00885319709777832,0.17803030303030304,0.17803030303030304,0.1696969696969697,0.21111111111111114,0.0,0.6370788153572331,0.6370788153572331,0.8164453095499272,0.633543906191505,1.0,0.8383547621736832,0.8383547621736832,0.9018996668515425,0.7717345240860062,1.0
3,0.6656594333194551,18.321382689476014,0.0016774307597767224,0.045106902718544006,0.00885319709777832,0.26007326007326004,0.26007326007326004,0.24335664335664337,0.21634615384615383,0.0,0.5280516870219424,0.5280516870219424,0.6774944705365916,0.5811936642025715,1.0,0.7675960228365485,0.7675960228365485,0.8404723562070702,0.8036000579338299,1.0
4,2.0543072049210713,57.288246968897376,0.0019201235337690874,0.0451980729897817,0.00885319709777832,0.36585365853658536,0.36585365853658536,0.30389610389610383,0.28571428571428575,0.0,0.4347525180832937,0.4347525180832937,0.5677113689646089,0.5160133109390365,1.0,0.6766085460506726,0.6766085460506726,0.7618146363415095,0.7402008373691559,1.0
5,3.944493493518314,64.81904038515958,0.002154892141168768,0.048953741788864136,0.00885319709777832,0.4180180180180181,0.4180180180180181,0.35393939393939383,0.32916666666666666,0.0,0.3677715055198556,0.3677715055198556,0.4772711923869286,0.43832217014668035,1.0,0.6009905622999389,0.6009905622999389,0.6780437823504957,0.6634025051164955,1.0
6,4.248847391870287,62.1804197956534,0.0024006106636740945,0.05928533871968587,0.00885319709777832,0.4930555555555556,0.4930555555555556,0.4,0.35833333333333334,0.0,0.31485831447268847,0.31485831447268847,0.402503509841429,0.38948209140454526,1.0,0.5188517079992038,0.5188517079992038,0.5973212488325487,0.5877258662078613,1.0
7,4.888259277624242,74.62466505169868,0.0026527448133988815,0.05030865470568339,0.00885319709777832,0.5121107266435986,0.5121107266435986,0.43208556149732624,0.392156862745098,0.3529411764705882,0.26047304273374344,0.26047304273374344,0.33749693013117027,0.3459926642342497,1.0,0.4775711247971927,0.4775711247971927,0.5247392104101511,0.5245706361139234,1.0
8,3.1838262346055775,56.04460296176729,0.0029185511849143288,0.05167804823981391,0.006479024887084961,0.625514403292181,0.625514403292181,0.47070707070707063,0.39094650205761317,0.37777777777777773,0.21701159305534923,0.21701159305534923,0.2803093597472648,0.32350145472759384,0.919413571279844,0.39095664793069074,0.39095664793069074,0.4450692228939324,0.5564613849339222,0.9965317594290847
9,1.981753808480722,35.51141704045809,0.003192650188099254,0.06015921522069861,0.008833885192871094,0.6705653021442494,0.6705653021442494,0.5186602870813397,0.4756335282651072,0.4000000000000001,0.17723882487435869,0.17723882487435869,0.22704961757707742,0.275005733017512,0.5985415567382084,0.32653722105388966,0.32653722105388966,0.3642290624424155,0.45128227278041627,0.959274306573095
